,0,1,2,3,4,5
0,0.0,0.0,0.0,5.683129643428536,9.691731498818617,0.0
1,2.102,1.973,2.309,29.864654840571298,47.12076952932364,3.974199295
2,0.104,0.216,0.312,23.754169289667576,45.819729244730105,1.29199028
3,0.09,0.112,0.277,28.060174624351827,48.22549094938354,0.423431396
4,7.006,5.611,6.66,24.80022673396883,45.51604097577696,1.468420029
5,0.082,0.25,0.336,26.17543620702575,42.13551935034631,0.962972641
6,0.073,0.125,0.27,25.185576860680055,47.64008218821523,0.362873077
7,8.449,10.73,14.988,48.67139913965246,92.30644884238669,2.821683884
8,0.065,0.385,0.811,50.02868916314622,94.95076040553545,1.517057419
9,0.053,0.19,0.629,43.29969671870994,83.08098795785028,0.683546066
10,0.067,0.874,2.712,12.615100807491084,22.859393448150392,0.701665878
11,0.444,0.968,1.586,15.333614887995727,27.01348115342487,0.448703766
12,0.222,0.188,0.23,13.389790893266177,29.717809869328164,0.461339951
13,0.027,0.112,0.175,14.984939309641975,25.286863140521284,0.231027603
14,1.688,10.172,11.208,33.43874602819198,60.963067562940374,3.44991684
15,0.03,0.28,0.431,36.46144269770865,67.23526996950181,0.890016556
16,0.031,0.121,0.363,36.49255995881687,64.90001095899166,0.485897064
17,1.842,0.638,1.203,8.67878282188506,14.364653355512417,0.448942184
18,0.416,0.838,0.942,2.673374034018839,4.736249447957809,0.202417374
19,0.013,0.031,0.071,3.256056587009632,5.390483041389372,0.16784668
20,0.012,0.012,0.038,3.0817059181540976,4.689203447366789,0.067234039
21,0.297,0.621,0.787,2.060058089264691,3.623697524750828,0.189781189
22,0.012,0.024,0.064,1.8040967741799852,3.9070998349107704,0.148773193
23,0.011,0.011,0.046,2.2898091417999966,4.079902794161105,0.056266785
24,2.166,3.834,3.404,2.4216936478779103,5.07337224383906,0.452041626
25,0.014,0.026,0.067,2.698268456675826,4.589616765980594,0.168085098
26,0.012,0.012,0.043,3.084100380823481,5.4785934547496575,0.066518784
27,0.35,0.628,0.805,2.4410736604853094,4.653617407731386,0.189781189
28,0.012,0.025,0.061,2.663705492235799,5.260988725915821,0.164747238
29,0.012,0.011,0.049,2.5190765852534014,5.05636140792492,0.065803528
30,1.346,0.87,1.244,4.815001180708694,7.132982977998663,0.427961349
31,0.013,0.035,0.067,4.899967676369629,7.980271526297182,0.199317932
32,0.013,0.017,0.046,4.472976566281354,7.497797942215264,0.08392334
33,0.534,1.204,1.681,4.623041082120386,8.051873445063936,0.54693222
34,0.014,0.035,0.082,4.829723678549278,8.08485967534707,0.196933746
35,0.012,0.016,0.051,3.9808501764398128,7.9767153036377,0.084400177
36,0.084,1.458,1.257,8.30882512943271,14.560343941569439,0.395298004
37,0.268,0.373,0.546,1.607984456292572,2.610887918820831,0.157594681
38,0.013,0.015,0.053,1.5071988984115787,2.3503436168677396,0.138521194
39,0.011,0.007,0.045,1.209987626954702,2.67864612433698,0.045537949
40,0.161,0.08,0.449,9.759981337733274,19.362312661861473,1.700162888
41,0.353,1.028,1.07,3.222619187393607,5.355490900910819,0.236749649
42,0.013,0.025,0.073,3.0725577468357095,4.720199035797862,0.173807144
43,0.014,0.012,0.052,2.658438701823479,4.8261794192028855,0.067234039
44,0.348,0.49,0.961,2.063047669252257,3.6379320765009564,0.220298767
45,0.012,0.014,0.063,2.3712883614735403,3.4188277660801183,0.152111053
46,0.012,0.008,0.047,2.106317217971062,3.8914320723643265,0.056266785
47,2.314,3.846,3.383,2.9081723279064846,5.221234000164302,0.437259674
48,0.053,0.03,0.064,3.020116109487618,4.972892206308897,0.162124634
49,0.011,0.011,0.045,2.7763554538828688,5.080737708716328,0.067472458
50,0.321,0.828,0.964,3.1373868077546447,5.397785980153479,0.220060349
51,0.013,0.026,0.066,3.3376029903423374,5.382811500840786,0.160932541
52,0.011,0.012,0.041,2.955735921453396,4.910417421630283,0.066041946
53,0.317,0.884,1.243,4.970122346625321,8.033856510408349,0.433921814
