,0,1,2,3,4,5
0,0,0,0,28.51875,57.0375,0
1,14.419,11.413,19.30698654,304.2,608.4,6.097793579
2,0.477,2.142,4.514408089,304.2,608.4,5.526781082
3,0.606,2.09,4.469570333,304.2,608.4,2.745389938
4,20.651,36.635,73.80740873,152.1,304.2,4.981517792
5,0.234,1.161,1.566236314,152.1,304.2,2.104043961
6,0.132,1.097,1.961403751,152.1,304.2,1.354694366
7,3.051,8.318,15.16758816,76.05,152.1,1.128435135
8,0.129,1.039,2.129601872,76.05,152.1,1.217603683
9,0.129,1.094,2.451071024,76.05,152.1,0.702142715
10,21.664,26.083,40.1338297,152.1,304.2,4.829406738
11,1.498,1.156,1.627290776,152.1,304.2,2.084970474
12,3.245,1.119,1.73321254,152.1,304.2,1.351356506
13,1.39,2.323,4.574247984,152.1,304.2,1.998901367
14,13.41,40.49,61.75879005,76.05,152.1,12.23397255
15,0.071,0.829,1.821884837,76.05,152.1,1.165151596
16,0.053,0.776,1.534353102,76.05,152.1,0.70643425
17,1.417,7.009,10.88036653,38.025,76.05,0.669240952
18,0.051,0.471,0.644249393,38.025,76.05,0.647068024
19,0.041,0.409,0.866360661,38.025,76.05,0.376939774
20,9.55,17.729,25.71793898,76.05,152.1,4.028558731
21,0.069,0.707,1.44100766,76.05,152.1,1.163721085
22,0.05,0.569,0.998872401,76.05,152.1,0.705242157
23,0.218,1.218,2.693962836,76.05,152.1,1.007556915
24,1.447,4.275,5.85856928,38.025,76.05,0.660181046
25,0.053,0.343,0.568995533,38.025,76.05,0.662326813
26,0.049,0.273,0.345706694,38.025,76.05,0.377178192
27,3.71,14.238,26.28799763,76.05,152.1,3.260374069
28,0.07,0.639,1.157315749,76.05,152.1,1.158237457
29,0.052,0.58,0.727534216,76.05,152.1,0.707149506
30,0.212,1.211,1.665542163,76.05,152.1,1.004934311
31,8.009,32.167,42.55971266,38.025,76.05,11.2657547
32,0.072,0.34,0.465368891,38.025,76.05,0.700235367
33,0.02,0.289,0.599432343,38.025,76.05,0.381231308
34,0.966,3.586,8.121061513,19.0125,38.025,0.65612793
35,0.024,0.204,0.425536833,19.0125,38.025,0.423431396
36,0.077,0.136,0.214525828,19.0125,38.025,0.215291977
37,5.583,9.945,18.9244783,38.025,76.05,2.25520134
38,0.075,0.342,0.543441842,38.025,76.05,0.694513321
39,0.021,0.299,0.535622466,38.025,76.05,0.378608704
40,0.117,0.575,0.941869514,38.025,76.05,0.531435013
41,0.91,3.544,7.731363893,19.0125,38.025,0.644207001
42,0.017,0.192,0.439847052,19.0125,38.025,0.431537628
43,0.017,0.128,0.182967065,19.0125,38.025,0.218391418
44,5.28,10.035,14.98749174,38.025,76.05,2.239227295
45,0.044,0.343,0.552790096,38.025,76.05,0.698804855
46,0.021,0.294,0.61950985,38.025,76.05,0.378847122
47,0.097,0.608,0.957030315,38.025,76.05,0.534772873
48,0.97,3.644,5.768596464,19.0125,38.025,0.642776489
49,0.022,0.199,0.292096648,19.0125,38.025,0.418663025
50,0.017,0.12,0.149384015,19.0125,38.025,0.214338303
51,4.977,10.013,12.7015992,38.025,76.05,2.23493576
52,0.049,0.323,0.408214564,38.025,76.05,0.693321228
53,0.02,0.29,0.559425866,38.025,76.05,0.377178192
54,0.085,0.62,1.054858387,38.025,76.05,0.532388687
55,0.969,3.587,5.245887523,19.0125,38.025,0.644683838
56,0.056,0.198,0.417843374,19.0125,38.025,0.421285629
57,0.017,0.132,0.299968681,19.0125,38.025,0.215291977
58,5.036,9.813,17.0308957,38.025,76.05,2.242088318
59,0.056,0.338,0.768908315,38.025,76.05,0.698566437
60,0.021,0.291,0.566241023,38.025,76.05,0.379085541
61,0.083,0.557,0.866807233,38.025,76.05,0.523805618
62,0.978,3.541,8.024528552,19.0125,38.025,0.633955002
63,0.023,0.195,0.413665273,19.0125,38.025,0.3926754
64,0.017,0.134,0.247440121,19.0125,38.025,0.199079514
65,4.983,9.923,12.48477518,38.025,76.05,2.22659111
66,0.097,0.325,0.725973586,38.025,76.05,0.670909882
67,0.019,0.371,0.589542619,38.025,76.05,0.360012054
68,0.085,0.59,1.020046069,38.025,76.05,0.515222549
69,0.994,3.559,4.422566554,19.0125,38.025,0.63085556
70,0.016,0.197,0.272739544,19.0125,38.025,0.389814377
71,0.017,0.137,0.265332651,19.0125,38.025,0.198841095
72,5.007,9.966,17.79849015,38.025,76.05,2.233982086
73,0.076,0.34,0.544736342,38.025,76.05,0.675916672
74,0.02,0.292,0.629834856,38.025,76.05,0.361204147
75,0.083,0.652,1.498892103,38.025,76.05,0.515222549
76,0.982,3.538,6.551561204,19.0125,38.025,0.62918663
77,0.052,0.226,0.46069036,19.0125,38.025,0.387907028
78,0.017,0.137,0.19930764,19.0125,38.025,0.198602676
79,4.973,9.739,12.6762788,38.025,76.05,2.226114273
80,0.051,0.356,0.549723372,38.025,76.05,0.661373138
81,0.022,0.289,0.57809026,38.025,76.05,0.360012054
82,0.083,0.577,0.912527931,38.025,76.05,0.515460968
83,0.961,3.517,4.535270335,19.0125,38.025,0.631570816
84,0.058,0.204,0.395338658,19.0125,38.025,0.39100647
85,0.019,0.134,0.264545679,19.0125,38.025,0.197887421
86,4.997,9.934,14.13450298,38.025,76.05,2.227306366
87,0.054,0.324,0.500363588,38.025,76.05,0.665664673
88,0.021,0.292,0.493959167,38.025,76.05,0.359773636
89,0.084,0.63,1.380416239,38.025,76.05,0.514745712
90,11.267,28.924,44.41517894,19.0125,38.025,11.04688644
91,0.06,0.211,0.284942358,19.0125,38.025,0.391960144
92,0.016,0.141,0.232298126,19.0125,38.025,0.199556351
93,1.259,3.23,6.215529019,9.50625,19.0125,0.611305237
94,0.09,0.113,0.158863537,9.50625,19.0125,0.25510788
95,0.012,0.087,0.184011608,9.50625,19.0125,0.116586685
96,9.246,11.144,20.82564704,19.0125,38.025,2.058029175
97,0.047,0.201,0.365241465,19.0125,38.025,0.38766861
98,0.015,0.12,0.225180411,19.0125,38.025,0.197410583
99,0.087,0.306,0.524291716,19.0125,38.025,0.277519226
100,1.055,3.243,4.487124857,9.50625,19.0125,0.607728958
101,0.067,0.1,0.223649993,9.50625,19.0125,0.260829926
102,0.013,0.09,0.195018443,9.50625,19.0125,0.117778778
103,8.929,11.05,20.41151931,19.0125,38.025,2.058029175
104,0.082,0.182,0.305487524,19.0125,38.025,0.382184982
105,0.015,0.147,0.271153678,19.0125,38.025,0.198364258
106,0.089,0.287,0.509055985,19.0125,38.025,0.277519226
107,1.353,3.329,6.980073829,9.50625,19.0125,0.606298447
108,0.064,0.121,0.238223041,9.50625,19.0125,0.251531601
109,0.014,0.078,0.144916139,9.50625,19.0125,0.116825104
110,10.89,10.618,17.00820419,19.0125,38.025,2.05540657
111,0.052,0.198,0.356694293,19.0125,38.025,0.381231308
112,0.013,0.136,0.27557383,19.0125,38.025,0.197410583
113,0.086,0.287,0.454051339,19.0125,38.025,0.277280807
114,1.326,3.264,4.544914515,9.50625,19.0125,0.605344772
115,0.061,0.119,0.22995326,9.50625,19.0125,0.259637833
116,0.012,0.077,0.145458709,9.50625,19.0125,0.116825104
117,10.869,10.522,14.09724892,19.0125,38.025,2.054691315
118,0.087,0.204,0.386523093,19.0125,38.025,0.380277634
119,0.014,0.137,0.181477271,19.0125,38.025,0.197887421
120,0.154,0.377,0.725596989,19.0125,38.025,0.27680397
121,1.118,3.238,5.74152197,9.50625,19.0125,0.605821609
122,0.176,0.109,0.15588764,9.50625,19.0125,0.250339508
123,0.014,0.087,0.132683051,9.50625,19.0125,0.115633011
124,8.933,10.637,18.86948644,19.0125,38.025,2.060174942
125,0.077,0.182,0.393762002,19.0125,38.025,0.384092331
126,0.019,0.14,0.212483903,19.0125,38.025,0.197649002
127,0.085,0.301,0.399183221,19.0125,38.025,0.277519226
128,1.472,3.278,6.766985063,9.50625,19.0125,0.606536865
129,0.082,0.121,0.244753207,9.50625,19.0125,0.258207321
130,0.013,0.077,0.159140875,9.50625,19.0125,0.118017197
131,10.795,10.732,16.15965501,19.0125,38.025,2.055644989
132,0.056,0.199,0.301229047,19.0125,38.025,0.378847122
133,0.014,0.118,0.227757964,19.0125,38.025,0.197649002
134,0.085,0.264,0.479632962,19.0125,38.025,0.276327133
135,1.326,3.279,6.773519982,9.50625,19.0125,0.605821609
136,0.069,0.121,0.171728499,9.50625,19.0125,0.259637833
137,0.602,0.078,0.135371739,9.50625,19.0125,0.115871429
138,8.951,10.63,20.21858376,19.0125,38.025,2.060174942
139,0.061,0.203,0.271311417,19.0125,38.025,0.379562378
140,0.328,0.123,0.278128557,19.0125,38.025,0.197172165
141,0.084,0.289,0.534489167,19.0125,38.025,0.27680397
142,1.317,3.304,4.96609397,9.50625,19.0125,0.606775284
143,0.039,0.097,0.124018753,9.50625,19.0125,0.259637833
144,0.012,0.091,0.149622354,9.50625,19.0125,0.116586685
145,11.167,10.525,17.72458196,19.0125,38.025,2.056360245
146,0.085,0.185,0.361567715,19.0125,38.025,0.378608704
147,0.015,0.133,0.277878686,19.0125,38.025,0.197649002
148,0.089,0.292,0.473150628,19.0125,38.025,0.278234482
149,13.457,26.967,54.74519439,9.50625,19.0125,15.74969292
150,0.108,0.135,0.246957004,9.50625,19.0125,0.237226486
151,0.013,0.096,0.160447821,9.50625,19.0125,0.118494034
152,2.622,3.186,4.375031082,4.753125,9.50625,0.56385994
153,0.07,0.091,0.182673842,4.753125,9.50625,0.166416168
154,0.012,0.044,0.0541785,4.753125,9.50625,0.074863434
155,31.714,14.2,18.51187949,9.50625,19.0125,1.936912537
156,3.942,0.121,0.179873178,9.50625,19.0125,0.213861465
157,4.558,0.093,0.169415781,9.50625,19.0125,0.116825104
158,2.851,0.168,0.239844517,9.50625,19.0125,0.159740448
159,28.392,3.195,4.419246777,4.753125,9.50625,0.561714172
160,4.508,0.065,0.128250962,4.753125,9.50625,0.164031982
161,4.833,0.059,0.076189341,4.753125,9.50625,0.075340271
162,55.934,13.217,20.27144396,9.50625,19.0125,1.93977356
163,2.09,0.13,0.250551177,9.50625,19.0125,0.210762024
164,4.26,0.079,0.180539219,9.50625,19.0125,0.116586685
165,2.966,0.169,0.375581446,9.50625,19.0125,0.158548355
166,2.844,3.221,6.980652044,4.753125,9.50625,0.564336777
167,0.176,0.085,0.146250939,4.753125,9.50625,0.162124634
168,0.011,0.06,0.120022845,4.753125,9.50625,0.074386597
169,24.103,14.036,27.23938601,9.50625,19.0125,1.937389374
170,0.105,0.118,0.250121156,9.50625,19.0125,0.213861465
171,0.012,0.087,0.112367025,9.50625,19.0125,0.115871429
172,0.056,0.167,0.278834431,9.50625,19.0125,0.159025192
173,2.925,3.224,6.956208314,4.753125,9.50625,0.559568405
174,0.058,0.084,0.136266059,4.753125,9.50625,0.163316727
175,0.012,0.045,0.09408103,4.753125,9.50625,0.076055527
176,10.099,13.535,27.78626515,9.50625,19.0125,1.91450119
177,0.108,0.12,0.179001246,9.50625,19.0125,0.216007233
178,0.013,0.082,0.185304827,9.50625,19.0125,0.118017197
179,0.044,0.168,0.211909773,9.50625,19.0125,0.158548355
180,0.432,3.266,7.400591074,4.753125,9.50625,0.550985336
181,0.041,0.065,0.094709101,4.753125,9.50625,0.162601471
182,0.011,0.061,0.098350442,4.753125,9.50625,0.07557869
183,4.363,13.749,24.45589987,9.50625,19.0125,1.915216446
184,0.126,0.118,0.242391819,9.50625,19.0125,0.21314621
185,0.012,0.085,0.194175497,9.50625,19.0125,0.116586685
186,0.435,3.168,7.149018771,4.753125,9.50625,0.549793243
187,0.067,0.066,0.086736155,4.753125,9.50625,0.160217285
188,0.011,0.068,0.140826918,4.753125,9.50625,0.074386597
189,4.337,13.587,18.71114507,9.50625,19.0125,1.914978027
190,0.088,0.127,0.195531953,9.50625,19.0125,0.212192535
191,0.014,0.174,0.350175965,9.50625,19.0125,0.116348267
192,0.473,3.123,5.549822944,4.753125,9.50625,0.549316406
193,0.067,0.066,0.11223434,4.753125,9.50625,0.159263611
194,0.011,0.066,0.146927391,4.753125,9.50625,0.074148178
195,0.178,0.978,1.386475828,2.3765625,4.753125,0.241041183
196,0.058,0.044,0.067307797,2.3765625,4.753125,0.132799149
197,0.012,0.046,0.094543037,2.3765625,4.753125,0.05197525
198,0.834,0.413,0.612350719,9.50625,19.0125,2.670049667
199,0.61,0.645,0.896446734,28.51875,57.0375,1.707792282
200,0.647,4.966,10.53759101,9.50625,19.0125,0.700950623
201,0.039,0.122,0.250680097,9.50625,19.0125,0.259399414
202,0.014,0.091,0.145110388,9.50625,19.0125,0.123262405
203,1.684,10.884,19.29763646,19.0125,38.025,1.711606979
204,0.081,0.19,0.329746079,19.0125,38.025,0.385046005
205,0.015,0.149,0.323157579,19.0125,38.025,0.200271606
206,0.452,3.132,7.050236541,9.50625,19.0125,0.487565994
207,0.071,0.125,0.28185868,9.50625,19.0125,0.248670578
208,0.012,0.078,0.159550917,9.50625,19.0125,0.116825104
209,1.578,10.698,14.35974183,19.0125,38.025,1.67965889
210,0.094,0.192,0.364638233,19.0125,38.025,0.383615494
211,0.014,0.141,0.299479203,19.0125,38.025,0.200033188
212,0.434,3.075,6.378614511,9.50625,19.0125,0.478506088
213,0.051,0.103,0.219900358,9.50625,19.0125,0.249624252
214,0.013,0.087,0.156326434,9.50625,19.0125,0.118732452
215,0.246,1.018,1.320750409,4.753125,9.50625,0.198841095
216,0.017,0.075,0.107386432,4.753125,9.50625,0.181436539
217,0.013,0.046,0.102884303,4.753125,9.50625,0.07557869
218,0.109,0.261,0.506081732,19.0125,38.025,1.46818161
